person_party_id,start_dt,end_dt,next_start_dt,program_start_date,program_end_date,program_exit_code,cms_user_ext_id,final_term,credential,term_length,prior_cum_credits_not_completed,full_part_time,term_attempted_credits,on_campus,delta_unmet_need,unmet_need,prior_term_earned_credits,prior_total_credit_hours,high_school_gpa,term_start_month,prior_term_start_month,prior_full_part_time,primary_major,prior_term_fraction_completed_credits,transfer,prior_term_gpa,admitted_zip_code,prior_cumulative_gpa,time_at_institution,prediction,outcome
1063577,1/29/15,5/14/15,,8/27/14,6/24/15,4,398797,TRUE,BA,105,0,Full-time,12,TRUE,,0,3,16,3.268,Jan,Jan,Full-time,MGMT,1,FALSE,1.3,46975,2.625,0.42,0.703546678,0
1062530,1/29/15,5/14/15,8/26/15,4/17/13,5/12/16,1,378849,FALSE,BA,105,-0.5,Full-time,17.5,TRUE,,0,3,82,3.774,Jan,Jan,Full-time,MRKT,1,FALSE,3.3,47346,3.448,2.41,0.985519043,1
1063016,1/29/14,5/15/14,8/27/14,,,,388438,FALSE,Unknown,106,0,Full-time,14.5,TRUE,,0,3,15,2.641,Jan,Jan,Full-time,,1,FALSE,2,46804,2.193,0.42,0.743514305,1
1061822,1/6/15,1/26/15,1/29/15,8/31/11,5/14/15,1,340660,FALSE,BA,20,-0.75,Full-time,3,FALSE,,,14.5,111.25,3.462,Jan,Aug,Full-time,COMM,1,FALSE,2.986,47022,2.892,3.35,0.998081853,1
1062657,8/26/15,12/11/15,1/4/16,3/27/14,5/12/16,1,381090,FALSE,BS,107,-0.75,Full-time,12,TRUE,0,0,14.25,115.75,3.792,Aug,Jan,Full-time,BIOCH,1.01,FALSE,3.607,46527,3.706,2.99,0.996606763,1
1061366,1/29/15,5/14/15,5/19/15,,,,175160,FALSE,Unknown,105,-0.25,Full-time,15.5,TRUE,,0,3,55.25,3.119,Jan,Jan,Full-time,,1,FALSE,3.7,46341,2.817,1.42,0.970601133,1
1063559,8/26/15,12/11/15,1/4/16,8/27/14,1/22/16,4,398591,FALSE,BA,107,0,Full-time,14.5,TRUE,17578,17578,14,35,3.383,Aug,Jan,Full-time,ENVSC,1,FALSE,2.257,47330,2.122,0.99,0.618572468,1
1062271,1/29/14,5/15/14,8/27/14,3/25/13,5/14/15,1,374473,FALSE,BS,106,-0.25,Full-time,12.5,TRUE,,0,3,86.25,3.44,Jan,Jan,Full-time,FIN,1,FALSE,4,47304,3.33,2.41,0.983706941,1
1063646,1/6/15,1/26/15,1/29/15,8/28/14,4/13/15,2,399884,FALSE,BS,20,0,Full-time,3,FALSE,,,13,38,3.76,Jan,Aug,Full-time,EDELM,1,FALSE,3,46310,3,0.36,0.996606766,1
1061668,8/28/13,12/13/13,1/3/14,9/1/10,5/15/14,1,308639,FALSE,BS,107,-0.75,Full-time,13,FALSE,,6383,3,108.25,2.965,Aug,Jul,Full-time,ATRN,1,FALSE,3.7,46845,2.792,2.99,0.982299383,1
1061889,1/29/15,5/14/15,,1/21/15,5/14/15,1,361857,TRUE,BS,105,-0.75,Full-time,13.5,FALSE,,0,4,118.25,3.149,Jan,Jan,Full-time,ACCT,1,FALSE,1.7,46901,2.897,3.41,0.923272524,1
1063620,1/4/16,1/22/16,1/27/16,4/8/15,,,399565,FALSE,BA,18,-0.25,Part-time,0.5,FALSE,,,17.25,50.75,3.752,Jan,Aug,Full-time,MUS,1.01,FALSE,2.829,46567,3.385,1.35,0.983806418,1
1062781,8/28/13,12/13/13,1/3/14,4/23/13,,,382942,FALSE,BS,107,3,Full-time,12.5,TRUE,-1608,0,14,29,2.98,Aug,Jan,Full-time,BIOL,1,FALSE,1.793,46526,1.841,0.99,0.962127012,1
1063522,1/6/15,1/26/15,1/29/15,10/28/14,,,398032,FALSE,BS,20,0,Full-time,4,FALSE,,,15,24,4.032,Jan,Aug,Full-time,PSYC,1,FALSE,2.48,47303,2.48,0.36,0.986412219,1
1061382,8/26/15,12/11/15,1/4/16,8/29/12,5/12/16,1,175576,FALSE,BA,107,-0.75,Full-time,14,TRUE,7325,7325,14.25,100.75,3.442,Aug,Jan,Full-time,BIOCH,1.01,FALSE,3.343,46220,3.278,2.99,0.982299376,1
1063583,1/29/15,5/14/15,8/26/15,,,,398891,FALSE,Unknown,105,0,Full-time,12,TRUE,,0,3,19,3.773,Jan,Jan,Full-time,,1,FALSE,3.3,47330,2.716,0.42,0.829940738,1
1063249,8/28/13,12/13/13,1/3/14,8/28/13,,,391927,FALSE,BS,107,,Full-time,16,TRUE,,0,,,,Aug,Unknown,Unknown,BIOCH,,FALSE,,,,0,0.989292417,1
1063376,8/27/14,12/12/14,,8/27/14,12/19/14,4,396505,TRUE,BA,107,,Full-time,16,TRUE,,20459,,,3.66,Aug,Unknown,Unknown,ART,,FALSE,,46911,,0,0.327478386,0
